"IP";"OS"
"10.117.97.31";"Cisco Nexus 7000-series switch (NX-OS 6.1(2))|Cisco Nexus switch (NX-OS 6.2)|Cisco Nexus switch (NX-OS 5 or 6.0(2))|Cisco Nexus 7000 switch (NX-OS 6.0)|Cisco Nexus 5548 switch (NX-OS 5.2)|Cisco Nexus switch (NX-OS 6.0(2))|Cisco Nexus switch (NX-OS 5)|Cisco Nexus switch (NX-OS 7.2)|Cisco Nexus 5010 switch (NX-OS 4.1)|Cisco Nexus 5000 switch"

"10.117.97.32";"Cisco Nexus switch (NX-OS 5 or 6.0(2))"

"10.117.97.33";"Cisco IOS XR 4.1.1|Cisco IOS XR 5.1.2|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco ASR 9010 router"

"10.117.97.34";"Cisco IOS XR 4.1.1|Cisco IOS XR 5.1.2|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco ASR 9010 router"

"10.117.97.35";"Linux 2.6.24 - 2.6.36|Linux 2.6.32 - 2.6.35|Aerohive HiveOS 5.1|Linux 2.6.17 - 2.6.36|Linux 2.6.19 - 2.6.36|Linux 2.6.9 - 2.6.30|Aerohive HiveOS 7.1|Linux 2.6.32|Linux 2.6.18 - 2.6.32|Linux 2.6.36 - 2.6.37"

"10.117.97.36";"Juniper EX2200 switch (JUNOS 12)"

"10.117.97.37";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.38";"VMware ESXi 6.0.0"

"10.117.97.39";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.40";"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.41";"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.42";"Sun Solaris 9 or 10, or OpenSolaris 2009.06 snv_111b"

"10.117.97.43";"Linux 3.10 - 4.11"

"10.117.97.44";"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

